Version="2.0"
numberBins=-1
binSize=10000
cirKey,startRecNo,endRecNo,min,max
voltage:vio_1v8:tl,480000,489999,-5.0,0.0
current:vio_1v8:tl,480000,489999,-989.0,490.0
power:vio_1v8:tl,480000,489999,-1.0,2.0
current:3.3v:tl,480000,489999,-557.0,455.0
voltage:3.3v:tl,480000,489999,30.0,38.0
power:tot:tl,480000,489999,-18.0,16.0
power:3.3v:tl,480000,489999,-18.0,15.0
voltage:vio_1v8:tl,490000,499999,-5.0,0.0
current:vio_1v8:tl,490000,499999,-903.0,481.0
power:vio_1v8:tl,490000,499999,-1.0,2.0
current:3.3v:tl,490000,499999,-546.0,465.0
voltage:3.3v:tl,490000,499999,30.0,37.0
power:tot:tl,490000,499999,-18.0,15.0
power:3.3v:tl,490000,499999,-18.0,15.0
voltage:vio_1v8:tl,500000,509999,-5.0,0.0
current:vio_1v8:tl,500000,509999,-911.0,510.0
power:vio_1v8:tl,500000,509999,-1.0,2.0
current:3.3v:tl,500000,509999,-558.0,445.0
voltage:3.3v:tl,500000,509999,30.0,39.0
power:tot:tl,500000,509999,-19.0,15.0
power:3.3v:tl,500000,509999,-19.0,14.0
voltage:vio_1v8:tl,510000,519999,-5.0,0.0
current:vio_1v8:tl,510000,519999,-1139.0,488.0
power:vio_1v8:tl,510000,519999,-1.0,3.0
current:3.3v:tl,510000,519999,-541.0,465.0
voltage:3.3v:tl,510000,519999,32.0,39.0
power:tot:tl,510000,519999,-19.0,15.0
power:3.3v:tl,510000,519999,-19.0,15.0
voltage:vio_1v8:tl,520000,529999,-5.0,0.0
current:vio_1v8:tl,520000,529999,-905.0,504.0
power:vio_1v8:tl,520000,529999,-1.0,2.0
current:3.3v:tl,520000,529999,-554.0,462.0
voltage:3.3v:tl,520000,529999,32.0,39.0
power:tot:tl,520000,529999,-21.0,16.0
power:3.3v:tl,520000,529999,-21.0,15.0
voltage:vio_1v8:tl,530000,539999,-5.0,0.0
current:vio_1v8:tl,530000,539999,-967.0,520.0
power:vio_1v8:tl,530000,539999,-1.0,2.0
current:3.3v:tl,530000,539999,-517.0,449.0
voltage:3.3v:tl,530000,539999,34.0,39.0
power:tot:tl,530000,539999,-19.0,16.0
power:3.3v:tl,530000,539999,-19.0,15.0
voltage:vio_1v8:tl,540000,549999,-5.0,0.0
current:vio_1v8:tl,540000,549999,-993.0,470.0
power:vio_1v8:tl,540000,549999,-1.0,2.0
current:3.3v:tl,540000,549999,-557.0,419.0
voltage:3.3v:tl,540000,549999,34.0,39.0
power:tot:tl,540000,549999,-21.0,15.0
power:3.3v:tl,540000,549999,-21.0,15.0
voltage:vio_1v8:tl,550000,559999,-7.0,0.0
current:vio_1v8:tl,550000,559999,-999.0,477.0
power:vio_1v8:tl,550000,559999,-1.0,3.0
current:3.3v:tl,550000,559999,-570.0,442.0
voltage:3.3v:tl,550000,559999,34.0,39.0
power:tot:tl,550000,559999,-22.0,18.0
power:3.3v:tl,550000,559999,-22.0,17.0
voltage:vio_1v8:tl,560000,569999,-5.0,0.0
current:vio_1v8:tl,560000,569999,-957.0,504.0
power:vio_1v8:tl,560000,569999,-1.0,2.0
current:3.3v:tl,560000,569999,-547.0,445.0
voltage:3.3v:tl,560000,569999,34.0,42.0
power:tot:tl,560000,569999,-20.0,16.0
power:3.3v:tl,560000,569999,-20.0,16.0
voltage:vio_1v8:tl,570000,579999,-5.0,0.0
current:vio_1v8:tl,570000,579999,-946.0,476.0
power:vio_1v8:tl,570000,579999,-1.0,2.0
current:3.3v:tl,570000,579999,-581.0,462.0
voltage:3.3v:tl,570000,579999,34.0,41.0
power:tot:tl,570000,579999,-22.0,19.0
power:3.3v:tl,570000,579999,-22.0,18.0
voltage:vio_1v8:tl,580000,589999,-5.0,0.0
